complaint_id,complaint_category,priority,sla_hours,resolution_time_hours,status,agent_name,created_date,resolved_date
CMP-00124,Service Disruption,Medium,48,,open,,2026-04-13 13:00:00,
CMP-00030,Account Access,Med,48,,OPEN,,2026-03-22 08:00:00,
CMP-00203,Refund Request,Med,48,31.49,closed,Agent_Eshwar,2026-03-28 16:00:00,2026-03-29 23:00:00
CMP-00160,Refund Request, high,24,22.87,resolved,Agent_Asha,2026-02-11 06:00:00,2026-02-12 04:00:00
CMP-00109,Roaming, low ,72,,InProgress,Agent_Charan,2026-02-14 06:00:00,
CMP-00068,Account Access,HIGH,24,,in progress,Agent_Hema,2026-01-23 08:00:00,
CMP-00076,Service Disruption, Medium,48,26.94,resolved,Agent_Hema,2026-01-12 01:00:00,2026-01-13 03:00:00
CMP-00176,Service Disruption,MEDIUM,48,40.64,RESOLVED,Agent_Asha,2026-04-01 19:00:00,2026-04-03 11:00:00
CMP-00053,Technical Issue,med,48,32.43,closed,Agent_Hema,2026-04-24 19:00:00,2026-04-26 03:00:00
CMP-00142,Hardware Defect, Medium,48,,Escalated,Agent_Divya,2026-04-22 03:00:00,
CMP-00188,Activation, low ,72,,assigned,Agent_Charan,2026-01-24 16:00:00,
CMP-00146,Plan Change,crit,4,2.64,RESOLVED,Agent_Fatima,2026-04-25 21:00:00,2026-04-25 23:00:00
CMP-00078,Service Disruption, high,24,64.09,RESOLVED,Agent_Divya,2026-01-14 04:00:00,2026-01-16 20:00:00
CMP-00119,Service Disruption, Medium,48,66.79,Resolved,Agent_Divya,2026-01-13 10:00:00,2026-01-16 04:00:00
CMP-00171,Network Quality,low,72,,Open,,2026-01-11 10:00:00,
CMP-00007,Account Access, high,24,,IN_PROGRESS,Agent_Fatima,2026-02-11 11:00:00,
CMP-00186,Network Quality,Med,48,47.83,Resolved,Agent_Charan,2026-02-03 13:00:00,2026-02-05 12:00:00
CMP-00009,Billing,MEDIUM,48,,Reopened,Agent_Divya,2026-03-25 01:00:00,
CMP-00067,Hardware Defect, Medium,48,31.77,RESOLVED,Agent_Hema,2026-03-11 19:00:00,2026-03-13 02:00:00
CMP-00100,Hardware Defect,med,48,40.0,Closed,Agent_Bhanu,2026-01-18 07:00:00,2026-01-19 22:00:00
CMP-00094,Activation,Crit,4,,In Progress,Agent_Eshwar,2026-03-14 23:00:00,
CMP-00022,Refund Request,medium,48,105.35,closed,Agent_Gaurav,2026-02-18 03:00:00,2026-02-22 12:00:00
CMP-00027,Account Access, Medium,48,,reopened,Agent_Eshwar,2026-02-09 06:00:00,
CMP-00072,Hardware Defect,low,72,,IN_PROGRESS,Agent_Fatima,2026-05-02 17:00:00,
CMP-00090,Service Disruption,high,24,,in progress,Agent_Hema,2026-03-15 14:00:00,
CMP-00019,Service Disruption,critical,4,3.12,closed,Agent_Divya,2026-04-06 14:00:00,2026-04-06 17:00:00
CMP-00155,Network Quality, Medium,48,32.36,Closed,Agent_Fatima,2026-01-24 20:00:00,2026-01-26 04:00:00
CMP-00156,Technical Issue,low,72,,InProgress,Agent_Charan,2026-02-19 07:00:00,
CMP-00017,Technical Issue,High,24,,open,,2026-01-18 17:00:00,
CMP-00080,Account Access,Medium,48,40.66,RESOLVED,Agent_Charan,2026-01-26 06:00:00,2026-01-27 22:00:00
CMP-00015,Activation,High,24,73.76,closed,Agent_Asha,2026-05-10 19:00:00,2026-05-13 20:00:00
CMP-00071,Network Quality,LOW,72,44.79,Resolved,Agent_Bhanu,2026-05-02 20:00:00,2026-05-04 16:00:00
CMP-00111,Roaming, high,24,,Reopened,Agent_Gaurav,2026-02-27 21:00:00,
CMP-00177,Billing,med,48,,in progress,Agent_Hema,2026-01-08 04:00:00,
CMP-00096,Billing,critical,4,,Reopened,Agent_Gaurav,2026-04-09 07:00:00,
CMP-00064,Service Disruption,Critical,4,4.08,resolved,Agent_Divya,2026-04-07 12:00:00,2026-04-07 16:00:00
CMP-00181,Plan Change,low,72,67.81,closed,Agent_Fatima,2026-02-14 22:00:00,2026-02-17 17:00:00
CMP-00098,Technical Issue, low ,72,72.72,closed,Agent_Gaurav,2026-01-26 16:00:00,2026-01-29 16:00:00
CMP-00209,Account Access,CRITICAL,4,4.28,RESOLVED,Agent_Eshwar,2026-03-09 19:00:00,2026-03-09 23:00:00
CMP-00112,Plan Change,med,48,,OPEN,,2026-02-01 14:00:00,
CMP-00081,Network Quality,Low,72,,assigned,Agent_Hema,2026-04-26 22:00:00,
CMP-00032,Roaming,Medium,48,,OPEN,,2026-01-26 02:00:00,
CMP-00148,Activation,Medium,48,,IN_PROGRESS,Agent_Bhanu,2026-01-20 20:00:00,
CMP-00126,Service Disruption, low ,72,39.29,RESOLVED,Agent_Gaurav,2026-03-25 12:00:00,2026-03-27 03:00:00
CMP-00069,Account Access, high,24,,InProgress,Agent_Hema,2026-03-25 05:00:00,
CMP-00113,Refund Request, Medium,48,,InProgress,Agent_Divya,2026-04-06 03:00:00,
CMP-00033,Network Quality, low ,72,,assigned,Agent_Fatima,2026-01-18 07:00:00,
CMP-00174,Activation,Crit,4,,In Progress,Agent_Gaurav,2026-04-19 02:00:00,
CMP-00004,Hardware Defect,MEDIUM,48,,in progress,Agent_Bhanu,2026-03-28 03:00:00,
CMP-00132,Hardware Defect,Low,72,,IN_PROGRESS,Agent_Divya,2026-01-30 08:00:00,
CMP-00037,Service Disruption,medium,48,26.43,resolved,Agent_Asha,2026-02-11 23:00:00,2026-02-13 01:00:00
CMP-00005,Activation, low ,72,122.08,Resolved,Agent_Eshwar,2026-04-28 17:00:00,2026-05-03 19:00:00
CMP-00170,Refund Request, low ,72,61.81,Closed,Agent_Bhanu,2026-04-29 22:00:00,2026-05-02 11:00:00
CMP-00154,Network Quality,medium,48,,escalated,Agent_Bhanu,2026-04-11 04:00:00,
CMP-00057,Hardware Defect,LOW,72,72.94,RESOLVED,Agent_Eshwar,2026-01-06 18:00:00,2026-01-09 18:00:00
CMP-00169,Technical Issue,CRITICAL,4,19.77,closed,Agent_Fatima,2026-01-18 11:00:00,2026-01-19 06:00:00
CMP-00207,Roaming,med,48,25.73,closed,Agent_Charan,2026-05-09 19:00:00,2026-05-10 20:00:00
CMP-00006,Account Access,HIGH,24,12.29,RESOLVED,Agent_Bhanu,2026-01-18 01:00:00,2026-01-18 13:00:00
CMP-00051,Refund Request,Crit,4,2.19,Closed,Agent_Gaurav,2026-04-27 13:00:00,2026-04-27 15:00:00
CMP-00056,Hardware Defect, Medium,48,,assigned,Agent_Hema,2026-04-15 10:00:00,
CMP-00093,Plan Change,medium,48,,in progress,Agent_Gaurav,2026-01-18 08:00:00,
CMP-00049,Network Quality,MEDIUM,48,25.17,resolved,Agent_Bhanu,2026-02-24 16:00:00,2026-02-25 17:00:00
CMP-00125,Technical Issue,med,48,,Open,,2026-03-24 19:00:00,
CMP-00101,Hardware Defect,Critical,4,13.29,RESOLVED,Agent_Fatima,2026-03-18 00:00:00,2026-03-18 13:00:00
CMP-00145,Technical Issue, low ,72,, assigned,Agent_Bhanu,2026-02-09 20:00:00,
CMP-00061,Plan Change,LOW,72,,In Progress,Agent_Asha,2026-05-01 00:00:00,
CMP-00054,Network Quality, high,24,21.27,Resolved,Agent_Bhanu,2026-03-12 16:00:00,2026-03-13 13:00:00
CMP-00092,Account Access,critical,4,3.83,RESOLVED,Agent_Hema,2026-03-16 16:00:00,2026-03-16 19:00:00
CMP-00059,Service Disruption,med,48,36.59,closed,Agent_Asha,2026-02-02 19:00:00,2026-02-04 07:00:00
CMP-00020,Plan Change,Med,48,57.23,RESOLVED,Agent_Asha,2026-02-26 00:00:00,2026-02-28 09:00:00
CMP-00103,Refund Request,critical,4,,IN_PROGRESS,Agent_Asha,2026-04-28 08:00:00,
CMP-00104,Hardware Defect,Crit,4,,assigned,Agent_Eshwar,2026-03-30 18:00:00,
CMP-00091,Refund Request,low,72,58.99,closed,Agent_Bhanu,2026-01-04 17:00:00,2026-01-07 03:00:00
CMP-00133,Billing,High,24,65.92,RESOLVED,Agent_Fatima,2026-03-10 00:00:00,2026-03-12 17:00:00
CMP-00128,Refund Request,Medium,48,,IN_PROGRESS,Agent_Charan,2026-03-07 11:00:00,
CMP-00167,Roaming, low ,72,,InProgress,Agent_Bhanu,2026-02-17 21:00:00,
CMP-00088,Roaming,LOW,72,52.12,Closed,Agent_Gaurav,2026-04-27 02:00:00,2026-04-29 06:00:00
CMP-00115,Service Disruption,Medium,48,,Assigned,Agent_Bhanu,2026-03-19 15:00:00,
CMP-00065,Billing,MEDIUM,48,27.37,Closed,Agent_Fatima,2026-01-11 11:00:00,2026-01-12 14:00:00
CMP-00108,Technical Issue,Critical,4,,InProgress,Agent_Fatima,2026-01-09 18:00:00,
CMP-00208,Refund Request, low ,72,,reopened,Agent_Charan,2026-04-07 10:00:00,
CMP-00040,Refund Request, low ,72,87.38,closed,Agent_Asha,2026-03-05 08:00:00,2026-03-08 23:00:00
CMP-00159,Refund Request,low,72,,InProgress,Agent_Hema,2026-02-19 11:00:00,
CMP-00162,Service Disruption,low,72,138.37,closed,Agent_Gaurav,2026-01-07 13:00:00,2026-01-13 07:00:00
CMP-00008,Technical Issue, Medium,48,,Escalated,Agent_Divya,2026-02-13 17:00:00,
CMP-00185,Roaming,High,24,,assigned,Agent_Hema,2026-01-19 14:00:00,
CMP-00047,Hardware Defect,med,48,,IN_PROGRESS,Agent_Gaurav,2026-02-02 06:00:00,
CMP-00084,Plan Change, low ,72,67.6,closed,Agent_Gaurav,2026-05-09 17:00:00,2026-05-12 12:00:00
CMP-00099,Plan Change, low ,72,,InProgress,Agent_Gaurav,2026-01-21 10:00:00,
CMP-00139,Technical Issue,HIGH,24,,In Progress,Agent_Gaurav,2026-01-02 15:00:00,
CMP-00163,Billing,Medium,48,,In Progress,Agent_Charan,2026-03-27 04:00:00,
CMP-00149,Activation,med,48,30.65,RESOLVED,Agent_Fatima,2026-01-11 14:00:00,2026-01-12 20:00:00
CMP-00039,Hardware Defect,low,72,57.86,closed,Agent_Charan,2026-04-15 19:00:00,2026-04-18 04:00:00
CMP-00043,Billing,Medium,48,,assigned,Agent_Eshwar,2026-02-15 18:00:00,
CMP-00199,Roaming,medium,48,,IN_PROGRESS,Agent_Hema,2026-01-19 12:00:00,
CMP-00184,Hardware Defect,high,24,13.72,Resolved,Agent_Gaurav,2026-01-17 09:00:00,2026-01-17 22:00:00
CMP-00031,Refund Request,MEDIUM,48,,InProgress,Agent_Eshwar,2026-02-03 21:00:00,
CMP-00134,Hardware Defect,low,72,71.09,resolved,Agent_Divya,2026-01-18 04:00:00,2026-01-21 03:00:00
CMP-00034,Technical Issue, low ,72,53.93,RESOLVED,Agent_Bhanu,2026-01-03 21:00:00,2026-01-06 02:00:00
CMP-00001,Activation,Medium,48,27.74,Closed,Agent_Bhanu,2026-02-27 04:00:00,2026-02-28 07:00:00
CMP-00032,Roaming,Medium,48,,OPEN,,2026-01-26 02:00:00,
CMP-00116,Hardware Defect,low,72,,IN_PROGRESS,Agent_Charan,2026-04-18 18:00:00,
CMP-00189,Billing,critical,4,, assigned,Agent_Asha,2026-03-28 18:00:00,
CMP-00018,Account Access,LOW,72,,Reopened,Agent_Gaurav,2026-03-09 16:00:00,
